model,capacity_class_kw,refrigerant,cooling_capacity,input_power,coolant_flow,head_or_dp,charge,conditions,source_url,retrieved
GS Energy GS-005YN3A-W-C,5.0,R134a,5.0 kW @ W18/A45,2.6 kW (max 2.85 kW),37 L/min,,,W18 = water 18 C inlet; A45 = ambient 45 C; heating 2.0 kW; AC220V; IPX5; ambient range -30..55 C,https://www.gs-ess.com/product/detail?id=41,2026-09-01
Jilipow JL-BC-5-768280-L,5.6,R134a,5.6 kW @ L45/W18,2.34 kW,40 L/min @ 160 kPa,160 kPa,R134a 1.8 kg,L45/W18 = load 45 C / water 18 C outlet; coolant 50% EG; cabinet 215 kWh 280 Ah 5 packs; cabinet datasheet Table 8,https://v6-file.globalso.com/upload/p/502/file/2024-11/jl-bc-5-768280-l-specification.pdf,2026-09-01
KSTAR liquid cooling unit,3/5/8,R134a,3 / 5 / 8 kW,1.1 / 1.9 / 2.9 kW,30 / 40 / 50 L/min @ 90 kPa,90 kPa,,standalone liquid cooling units for ESS; coolant 50% EG; values from Stage 8D audit record of official KSTAR spec,https://www.kstar.com/cn/index.php/product/info/164.html,2026-09-01
Xinrex 232 kWh cabinet,5,R134a,5 kW cooling,3.2 kW,,,50% EG,cabinet-level rating from official product page; recorded in Stage 8D audit,https://xinrex.com.cn/product-_19/832.html,2026-09-01
SWD 232 kWh/105 kW ESS,5,R134a,5 kW @ W18/L45,,,,50% EG,cabinet datasheet 2024-11-21; recorded in Stage 8D audit,https://assets.zyrosite.com/YX4lNJX8jkSOP443/5--swd-232kwh---105kw-energy-storage-system-swd232105lfp-ynqbloxow7fkxopp-Aq2WyJqov6I1rDKz.pdf,2026-09-01
