N_comp_rpm,N_pump_rpm,T_cool_in_C,Q_evap_plant_W,Q_hx_potential_W,Q_ref_max_W,limit_type
3000.0,2400.0,20.0,1424.2875691065115,1424.2875691065115,1493.8595675058687,Q_hx
3000.0,2400.0,22.5,1553.4195024699657,1553.4195024699657,1603.8456160328356,Q_hx
3000.0,2400.0,25.0,1685.6043279785572,1685.6043279785572,1719.7217601295824,Q_hx
3000.0,2400.0,27.5,1819.7124594479908,1819.7124594479908,1841.6357749315657,Q_hx
3000.0,2400.0,30.0,1956.685436547228,1956.685436547228,1969.5575102822522,Q_hx
3000.0,2400.0,32.5,2098.55994308293,2098.55994308293,2103.682710789363,Q_hx
3000.0,2400.0,35.0,2243.4310783634355,2246.060241271641,2243.4310783634355,Q_ref_max
3000.0,3200.0,15.0,1300.344313460764,1460.359126647594,1300.344313460764,Q_ref_max
3000.0,3200.0,17.5,1185.3254788125485,1185.3254788125485,1441.6425881010887,Q_hx
3000.0,3200.0,20.0,1331.4372676085018,1331.4372676085018,1551.3915294793446,Q_hx
3000.0,3200.0,22.5,1487.8294945096325,1487.8294945096325,1666.518593786984,Q_hx
3000.0,3200.0,25.0,1646.4486212828565,1646.4486212828565,1787.8937010963018,Q_hx
3000.0,3200.0,27.5,1804.7120143519971,1804.7120143519971,1916.0814088456295,Q_hx
3000.0,3200.0,30.0,1960.215303043463,1960.215303043463,2051.6721996387832,Q_hx
3000.0,3200.0,32.5,2117.134176367468,2117.134176367468,2194.4803842071615,Q_hx
3000.0,3200.0,35.0,2276.8297468111127,2276.8297468111127,2344.3870252749903,Q_hx
3000.0,4000.0,15.0,1333.954788336905,1377.1278069777766,1333.954788336905,Q_ref_max
3000.0,4000.0,17.5,1311.131716141723,1311.131716141723,1455.8874755896102,Q_hx
3000.0,4000.0,20.0,1320.6174752565735,1320.6174752565735,1580.3368548118628,Q_hx
3000.0,4000.0,22.5,1349.9407727450618,1349.9407727450618,1711.0930554803967,Q_hx
3000.0,4000.0,25.0,1515.7300939711095,1515.7300939711095,1837.9470173974876,Q_hx
3000.0,4000.0,27.5,1672.1339642512112,1672.1339642512112,1973.1342267464333,Q_hx
3000.0,4000.0,30.0,1836.157767605143,1836.157767605143,2114.9666296461246,Q_hx
3000.0,4000.0,32.5,2009.1326724364926,2009.1326724364926,2263.6964045257346,Q_hx
3000.0,4000.0,35.0,2186.9538657420235,2186.9538657420235,2419.7294557113737,Q_hx
3000.0,4800.0,15.0,1339.2414970856278,1710.607694918079,1339.2414970856278,Q_ref_max
3000.0,4800.0,17.5,1455.8874755896102,1728.1230821440668,1455.8874755896102,Q_ref_max
3000.0,4800.0,20.0,1580.3368548118628,1744.6412265529696,1580.3368548118628,Q_ref_max
3000.0,4800.0,22.5,1712.7118086661549,1760.2216126408523,1712.7118086661549,Q_ref_max
3000.0,4800.0,25.0,1774.9210016150582,1774.9210016150582,1853.382378843354,Q_hx
3000.0,4800.0,27.5,1788.7933768355026,1788.7933768355026,2002.9731805383321,Q_hx
3000.0,4800.0,30.0,1801.8899189533165,1801.8899189533165,2161.328352408124,Q_hx
3000.0,4800.0,32.5,1814.2590391373462,1814.2590391373462,2329.3183264439767,Q_hx
3000.0,4800.0,35.0,1965.2911363695061,1965.2911363695061,2495.60360785387,Q_hx
4000.0,1600.0,15.0,1551.661942150884,1551.661942150884,1571.6161975718487,Q_hx
4000.0,1600.0,17.5,1672.129491607391,1672.129491607391,1685.6624733494173,Q_hx
4000.0,1600.0,20.0,1792.5768010234258,1792.5768010234258,1806.1905506058324,Q_hx
4000.0,1600.0,22.5,1917.5114880644471,1917.5114880644471,1932.008372577221,Q_hx
4000.0,1600.0,25.0,2046.864672900388,2046.864672900388,2062.951038837543,Q_hx
4000.0,1600.0,27.5,2179.948234395891,2179.948234395891,2199.393570903804,Q_hx
4000.0,1600.0,30.0,2315.487797398381,2315.487797398381,2341.7427273805215,Q_hx
4000.0,1600.0,32.5,2454.8842005228344,2454.8842005228344,2489.871077591352,Q_hx
4000.0,1600.0,35.0,2597.4852565060423,2597.4852565060423,2644.038026499935,Q_hx
4000.0,2400.0,15.0,1683.3237102917806,1698.017532640271,1683.3237102917806,Q_ref_max
4000.0,2400.0,17.5,1785.4124833809021,1785.4124833809021,1820.204499303003,Q_hx
4000.0,2400.0,20.0,1931.7517709917288,1931.7517709917288,1955.6011931875146,Q_hx
4000.0,2400.0,22.5,2081.9098329494223,2081.9098329494223,2097.9731334890384,Q_hx
4000.0,2400.0,25.0,2238.4025957464596,2238.4025957464596,2247.055694443441,Q_hx
4000.0,2400.0,27.5,2400.8186014149865,2400.8186014149865,2403.407185437872,Q_hx
4000.0,2400.0,30.0,2566.6486758772976,2567.731331323882,2566.6486758772976,Q_ref_max
4000.0,2400.0,32.5,2736.8024868011776,2740.6991023655214,2736.8024868011776,Q_ref_max
4000.0,2400.0,35.0,2914.224475625423,2919.618020637179,2914.224475625423,Q_ref_max
4000.0,3200.0,15.0,1736.117010469443,1831.7870409325108,1736.117010469443,Q_ref_max
4000.0,3200.0,17.5,1767.7615966575831,1767.7615966575831,1898.6096208901024,Q_hx
4000.0,3200.0,20.0,1941.0995257359082,1941.0995257359082,2041.863827525167,Q_hx
4000.0,3200.0,22.5,2118.5381809201667,2118.5381809201667,2192.545434631613,Q_hx
4000.0,3200.0,25.0,2300.2132257295393,2300.2132257295393,2351.335743100648,Q_hx
4000.0,3200.0,27.5,2485.707171816926,2485.707171816926,2518.4649775027347,Q_hx
4000.0,3200.0,30.0,2674.032924334818,2674.032924334818,2694.1428972827152,Q_hx
4000.0,3200.0,32.5,2868.6805710226245,2868.6805710226245,2878.0120431853293,Q_hx
4000.0,3200.0,35.0,3070.4203246761167,3071.135579736126,3070.4203246761167,Q_ref_max
4000.0,4000.0,15.0,1769.0431713050248,1964.7563606296262,1769.0431713050248,Q_ref_max
4000.0,4000.0,17.5,1646.9235895607292,1646.9235895607292,1957.5362149395646,Q_hx
4000.0,4000.0,20.0,1846.457311579846,1846.457311579846,2106.013684820073,Q_hx
4000.0,4000.0,22.5,2056.7023155818038,2056.7023155818038,2262.22080250054,Q_hx
4000.0,4000.0,25.0,2264.672514621738,2264.672514621738,2427.854622824593,Q_hx
4000.0,4000.0,27.5,2476.863207711834,2476.863207711834,2601.916264421942,Q_hx
4000.0,4000.0,30.0,2692.0701483373573,2692.0701483373573,2785.3289653832408,Q_hx
4000.0,4000.0,32.5,2912.37732310976,2912.37732310976,2977.9989043006376,Q_hx
4000.0,4000.0,35.0,3136.737934609016,3136.737934609016,3180.0941123777775,Q_hx
4000.0,4800.0,15.0,1820.1567863543273,1876.8893630120842,1820.1567863543273,Q_ref_max
4000.0,4800.0,17.5,1789.3667546794284,1789.3667546794284,1986.995498107544,Q_hx
4000.0,4800.0,20.0,1803.1498903907666,1803.1498903907666,2157.0577474700913,Q_hx
4000.0,4800.0,22.5,1840.8421196136844,1840.8421196136844,2336.295965412447,Q_hx
4000.0,4800.0,25.0,2066.930324891714,2066.930324891714,2510.1264989927267,Q_hx
4000.0,4800.0,27.5,2298.036855407761,2298.036855407761,2693.5637834382624,Q_hx
4000.0,4800.0,30.0,2524.421056659578,2524.421056659578,2887.720503852517,Q_hx
